"Step","File","From","To","Action","Error"
"BucketDrop","20251213_074307.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251213_074307.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251213_074307.jpg","Moved",""
"BucketDrop","20251213_134808.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251213_134808.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251213_134808.jpg","Moved",""
"BucketDrop","20251214_185635.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_185635.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_185635.jpg","Moved",""
"BucketDrop","20251214_185736.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_185736.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_185736.jpg","Moved",""
"BucketDrop","20251214_190110.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_190110.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_190110.jpg","Moved",""
"BucketDrop","20251214_190844.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\20251214_190844.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\20251214_190844.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084317.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084317.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084317.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084524_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084524_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084524_Cash App.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084751_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084751_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084751_Cash App.jpg","Moved",""
"BucketDrop","Screenshot_20251213_084813_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_084813_Cash App.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_084813_Cash App.jpg","Moved",""
"BucketDrop","Screenshot_20251213_085102_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_085102_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_085102_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_085110_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_085110_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_085110_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_085835_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_085835_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_085835_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_090410_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_090410_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_090410_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_091129_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_091129_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_091129_Uber Driver.jpg","Moved",""
"BucketDrop","Screenshot_20251213_091135_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\Pictures\Camera Roll\2025\Screenshot_20251213_091135_Uber Driver.jpg","C:\Users\Peter Teehan\OneDrive - COS Tesla LLC\MobilityOS\Uber Tracking\2025\December\Week 2\12.13.25\Bucket\Screenshot_20251213_091135_Uber Driver.jpg","Moved",""
